Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,BusInvolvement,"RigidTruck 
Involvement","Articulated Truck 
Involvement ",SpeedLimit,RoadUser,Gender,Age
2.2016E+12,VIC,1-Jan-16,1,January,2016,Friday,20:30,20,30,Single vehicle,No,No,No,80,Motorcycle rider,Male,25
4.2016E+12,SA,1-Jan-16,1,January,2016,Friday,1:00,1,0,Single vehicle,No,No,No,110,Driver,Male,40
1.2016E+12,NSW,2-Jan-16,2,January,2016,Saturday,0:30,0,30,Single vehicle,No,No,No,100,Passenger,Male,18
5.2016E+12,WA,2-Jan-16,2,January,2016,Saturday,17:20,17,20,Multiple vehicle,No,No,Yes,110,Driver,Male,53
6.2016E+12,TAS,2-Jan-16,2,January,2016,Saturday,19:58,19,58,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,17
6.2016E+12,TAS,2-Jan-16,2,January,2016,Saturday,19:58,19,58,Multiple vehicle,No,No,No,80,Motorcycle pillion passenger,Male,31
3.2016E+12,QLD,3-Jan-16,3,January,2016,Sunday,14:00,14,0,Pedestrian,No,No,No,60,Pedestrian,Male,70
6.2016E+12,TAS,3-Jan-16,3,January,2016,Sunday,11:55,11,55,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,51
1.2016E+12,NSW,4-Jan-16,4,January,2016,Monday,20:25,20,25,Single vehicle,No,No,No,100,Driver,Male,59
1.2016E+12,NSW,4-Jan-16,4,January,2016,Monday,21:45,21,45,Single vehicle,No,No,No,60,Driver,Female,17
2.2016E+12,VIC,4-Jan-16,4,January,2016,Monday,2:00,2,0,Single vehicle,No,No,No,50,Driver,Male,63
5.2016E+12,WA,4-Jan-16,4,January,2016,Monday,15:47,15,47,Single vehicle,No,No,No,110,Motorcycle rider,Male,67
1.2016E+12,NSW,5-Jan-16,5,January,2016,Tuesday,10:30,10,30,Multiple vehicle,No,No,No,50,Passenger,Male,20
1.2016E+12,NSW,7-Jan-16,7,January,2016,Thursday,11:45,11,45,Multiple vehicle,No,No,No,80,Driver,Male,89
1.2016E+12,NSW,8-Jan-16,8,January,2016,Friday,8:30,8,30,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,44
5.2016E+12,WA,8-Jan-16,8,January,2016,Friday,8:00,8,0,Multiple vehicle,No,No,No,70,Driver,Female,27
1.2016E+12,NSW,9-Jan-16,9,January,2016,Saturday,15:40,15,40,Multiple vehicle,No,No,No,60,Motorcycle pillion passenger,Female,43
1.2016E+12,NSW,9-Jan-16,9,January,2016,Saturday,0:49,0,49,Single vehicle,No,No,No,50,Driver,Male,37
3.2016E+12,QLD,9-Jan-16,9,January,2016,Saturday,15:00,15,0,Single vehicle,No,No,No,100,Motorcycle rider,Male,44
3.2016E+12,QLD,9-Jan-16,9,January,2016,Saturday,17:00,17,0,Multiple vehicle,No,No,No,100,Motorcycle rider,Female,46
4.2016E+12,SA,9-Jan-16,9,January,2016,Saturday,11:50,11,50,Multiple vehicle,No,No,No,80,Driver,Male,33
4.2016E+12,SA,9-Jan-16,9,January,2016,Saturday,11:50,11,50,Multiple vehicle,No,No,No,80,Driver,Female,90
4.2016E+12,SA,9-Jan-16,9,January,2016,Saturday,11:50,11,50,Multiple vehicle,No,No,No,80,Driver,Female,61
5.2016E+12,WA,9-Jan-16,9,January,2016,Saturday,16:10,16,10,Single vehicle,No,No,No,110,Driver,Male,50
5.2016E+12,WA,9-Jan-16,9,January,2016,Saturday,2:15,2,15,Single vehicle,No,No,No,100,Driver,Female,22
